입찰공고번호,입찰공고차수,입찰공고명,업무구분명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
HCF0152,2,T(A)FA-50 덮개 등 5종 제조,물품,총액계약,제한경쟁,적격심사제,Y,공군군수사령부,ZD00306,공군군수사령부,ZD00306,82.995,59985488,59902569,55546018,2025-06-11,10:30,개찰완료,52690000,87.837,2025-06-11,제이에이치텍,강종현,강종현,648-03-02612,부산광역시 사상구 가야대로196번길63
HCF0187,1,목재 2종 제조,물품,총액계약,제한경쟁,적격심사제,Y,공군군수사령부,ZD00306,공군군수사령부,ZD00306,87.995,33302689,33235294,30818182,2025-06-11,10:30,개찰완료,29311000,88.013,2025-06-11,우진목재(주),한상배,한상배,606-81-15635,부산광역시 강서구 녹산화전로 37()
HCF0190,1,비행복 계급장류 제조,물품,총액계약,제한경쟁,적격심사제,Y,공군군수사령부,ZD00306,공군군수사령부,ZD00306,82.995,,23485971,21777900,2025-06-11,10:30,유찰,,,,,,,,
HCF0193,1,25~'26 F-35A 지원체계 유지보수,용역,총액계약,제한경쟁,적격심사제,Y,공군군수사령부,ZD00306,공군군수사령부,ZD00306,87.745,92301721,91947088,85260027,2025-06-11,11:00,개찰완료,81108298,87.873,2025-06-11,주식회사 진엔지니어링,정진석,이상만,126-81-50363,경기도 광명시 장절로3번길15-0 (노온사동)
HCF0191,1,공구 다기능레이더 야전정비용 일반공구세트 구매,물품,총액계약,제한경쟁,적격심사제,Y,공군군수사령부,ZD00306,공군군수사령부,ZD00306,82.995,49297400,49029421,45463636,2025-06-11,10:30,개찰완료,40914553,82.995,2025-06-11,우림,오우림,오우림,118-22-02219,"경기도 안양시 동안구 흥안대로528 (관양동), 7층 702호 다46호(관양동, 타워빌딩)"
HCM0032,1,25년 항과고 학생 해외현장학습 계약,용역,총액계약,2단계경쟁(동시),최저가격제,N,공군교육사령부,ZD00172,공군교육사령부,ZD00172,0,25255981,25021000,22746364,2025-06-11,13:00,개찰완료,23940000,94.789,2025-06-11,썬투어 주식회사,주철우,주철우,203-87-03475,"경상남도 김해시 내외로95번길23, 605호 (내동, 풍림마이더스2)"
HDT0022,1,25~30년 얼음정수기 임차 용역,용역,총액계약,제한경쟁,적격심사제,Y,공군작사근무지원단,ZD00282,공군작사근무지원단,ZD00282,84.245,201372772,199980000,181800000,2025-06-11,11:00,개찰완료,169736760,84.289,2025-06-11,백제기업,백진영,백진영,180-12-01064,"충청남도 천안시 동남구 청수로99-0 102동 1203호 (청수동,극동아파트)"
LCF0317,1,심장세동제거기 등 18항목 구매(의무),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,76154145,76251000,72887273,2025-06-11,11:00,개찰완료,67012120,87.995,2025-06-11,소원바다,박상수,박상수,691-15-02002,충청남도 태안군 소원면 송의로400-201
LCF0316,1,전기소작기 11항목 구매(의무),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,48693258,48400000,44000000,2025-06-11,11:30,개찰완료,42850456,88,2025-06-11,주식회사아이디에프,최원창,이연숙,130-86-65007,"경기도 군포시 공단로140번길46, 1층 105호,106호,212호,213호 (당정동,엠테크노당정지식산업센터)"
LCF0314,1,잔류농약속성검사기 등 4항목 구매(의무),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,82424903,82307000,74824545,2025-06-11,13:30,개찰완료,72580160,88.056,2025-06-11,씨엠사이언스,김상곤,강현진,603-30-91078,"부산광역시 사상구 백양대로 493, 양지아카데미텔502호(주례동)"
LCF0218,2,T형관 보스연결용 등 23항목 구매(궤도-002),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,,127106931,115697685,2025-06-11,11:00,유찰,,,,,,,,
LCF0219,2,커플러 광전자식 등 20항목 구매(궤도-012),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,,153049238,142313815,2025-06-11,11:00,유찰,,,,,,,,
LCF0330,1,베어링 볼형 등 25항목 구매(기일-019),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,106096220,105657195,96161114,2025-06-11,10:30,개찰완료,93359444,87.995,2025-06-11,주식회사 네모컬처스,김완,김완,221-81-35411,서울특별시 마포구 토정로3길19-0 (합정동) 2층
LCF0315,1,마취기 동물용 등 1항목 구매(의무),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,49286614,49724000,45203636,2025-06-11,13:00,개찰완료,43372690,88,2025-06-11,운선컴퍼니,최운선,최운선,860-23-01507,대전광역시 서구 계룡로566-0 4층 248호 (괴정동)
LCF0333,1,섀클 등 14항목 구매(일장-002),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,,28374796,25795269,2025-06-11,10:30,순위확정,,,,,,,,
LCF0332,1,볼 조인트 등 22항목 구매(일장-007),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,100441301,100579098,91435544,2025-06-11,10:30,개찰완료,88384299,87.995,2025-06-11,이찬,이지숙,이지숙,405-40-00502,"전북특별자치도 전주시 덕진구 견훤로312-0 (인후동1가), 2층"
LCF0263,3,덮개 입구용 등 23항목 구매(궤도-008),물품,총액계약,일반경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,,248436751,225851592,2025-06-11,11:00,유찰,,,,,,,,
LCF0273,2,흘랙서블 커플링 등 16항목 생산능력(특무),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,82.995,,63800866,58000787,2025-06-11,11:30,유찰,,,,,,,,
LCF0290,2,케이블조립체 특수목적용 전기용 등 6항목 제조(특무),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,98857622,98396400,89451273,2025-06-11,11:30,개찰완료,87000000,88.005,2025-06-11,주식회사 에스더블유,신현직,신현직,888-86-03060,"경상북도 김천시 혁신8로5, 416호(율곡동, 율곡테크노밸리)"
LCF0353,1,집적회로 선형 등 36항목 구매(궤도-006),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,,112539743,102308857,2025-06-11,11:00,유찰,,,,,,,,
LCF0322,1,체인톱 등 24항목 구매(기일공구),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,167154742,166783580,151621436,2025-06-11,11:00,개찰완료,147088160,87.995,2025-06-11,태풍사다리,김낙현,김낙현,348-28-01282,경기도 부천시 오정구 삼작로74번길101 (삼정동)
LCF0356,1,링 엔진용(구동연결) 등 26항목 일반제조(궤도-002),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,,46966512,42696829,2025-06-11,11:00,유찰,,,,,,,,
LCF0361,1,지지대 배관 등 10항목 생산능력확인제조(궤도024),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,82.995,,22669390,20608536,2025-06-11,11:00,유찰,,,,,,,,
